order_id,customer_id,order_timestamp,total_amount_inr,payment_status,payment_method
ORD_16439,CUST_1635,2026-03-04 14:16:45,9498,completed,COD
ORD_15270,CUST_1513,2026-03-04 14:23:53,1698,completed,Credit Card
ORD_14997,CUST_1746,2026-03-04 16:39:32,1148,completed,Credit Card
ORD_19308,CUST_1856,2026-03-04 16:47:09,2499,completed,UPI
ORD_14540,CUST_0362,2026-03-04 16:56:41,1098,completed,COD
ORD_14068,CUST_0628,2026-03-04 17:01:45,998,completed,UPI
ORD_19053,CUST_0544,2026-03-04 17:20:30,2799,completed,UPI
ORD_15623,CUST_1438,2026-03-04 17:41:54,1698,completed,UPI
ORD_15485,CUST_1151,2026-03-04 19:04:43,1048,completed,UPI
ORD_17044,CUST_0739,2026-03-04 19:37:35,1999,completed,Debit Card
ORD_17687,CUST_1087,2026-03-04 19:54:58,3299,completed,Debit Card
ORD_14244,CUST_0622,2026-03-04 20:38:13,1348,completed,Credit Card
ORD_14419,CUST_1773,2026-03-04 21:01:35,1398,completed,UPI
ORD_19535,CUST_0488,2026-03-04 21:01:46,699,completed,Credit Card
ORD_19237,CUST_1378,2026-03-04 21:19:35,599,completed,Debit Card
ORD_16676,CUST_0666,2026-03-04 21:32:49,4999,completed,Credit Card
ORD_15169,CUST_0654,2026-03-04 23:16:56,1348,completed,Debit Card
ORD_18851,CUST_0918,2026-03-05 00:22:17,2799,completed,UPI
ORD_15644,CUST_1981,2026-03-05 00:43:00,1498,completed,Debit Card
ORD_15860,CUST_0899,2026-03-05 01:27:07,7498,completed,Debit Card
ORD_14850,CUST_0776,2026-03-05 01:45:02,1098,completed,UPI
ORD_10488,CUST_0163,2026-03-05 04:12:00,1899,completed,UPI
ORD_10074,CUST_0025,2026-03-05 04:40:00,1899,completed,Credit Card
ORD_15778,CUST_0276,2026-03-05 05:59:12,1598,completed,Debit Card
ORD_16699,CUST_1895,2026-03-05 06:03:55,2799,completed,Credit Card
ORD_14877,CUST_1791,2026-03-05 06:08:21,1098,completed,Credit Card
ORD_19207,CUST_1387,2026-03-05 06:42:33,899,failed,UPI
ORD_17125,CUST_1322,2026-03-05 06:44:39,2799,completed,UPI
ORD_10277,CUST_0093,2026-03-05 06:49:00,799,completed,Credit Card
ORD_16785,CUST_1806,2026-03-05 06:54:01,2199,completed,Credit Card
ORD_14476,CUST_0463,2026-03-05 07:56:12,1298,completed,UPI
ORD_18616,CUST_0818,2026-03-05 08:13:10,1899,completed,UPI
ORD_15431,CUST_0299,2026-03-05 09:01:54,998,completed,COD
ORD_17121,CUST_1216,2026-03-05 09:57:56,3499,completed,UPI
ORD_18468,CUST_0637,2026-03-05 10:02:45,599,completed,Credit Card
ORD_17956,CUST_0934,2026-03-05 10:24:30,3499,completed,UPI
ORD_16716,CUST_1048,2026-03-05 12:25:43,1499,completed,Credit Card
ORD_19234,CUST_1038,2026-03-05 12:53:30,2499,completed,Credit Card
ORD_16573,CUST_1399,2026-03-05 13:20:21,1299,completed,UPI
ORD_14108,CUST_0766,2026-03-05 16:11:04,1148,completed,Credit Card
ORD_15456,CUST_0828,2026-03-05 16:39:40,798,completed,Credit Card
ORD_14950,CUST_0797,2026-03-05 18:05:06,1298,completed,COD
ORD_17126,CUST_1000,2026-03-05 18:17:37,999,completed,COD
ORD_14565,CUST_0906,2026-03-05 18:27:32,898,completed,UPI
ORD_17821,CUST_0789,2026-03-05 19:43:19,3999,completed,Credit Card
ORD_17099,CUST_0539,2026-03-05 20:40:52,1299,completed,UPI
ORD_18138,CUST_1021,2026-03-05 21:15:16,3999,completed,UPI
ORD_10737,CUST_0230,2026-03-05 23:07:00,3499,completed,Credit Card
ORD_17789,CUST_0591,2026-03-05 23:09:35,3999,completed,Credit Card
ORD_17637,CUST_0857,2026-03-05 23:39:36,599,completed,UPI
ORD_19742,CUST_1253,2026-03-05 23:53:23,999,refunded,UPI
ORD_16644,CUST_1519,2026-03-06 00:01:36,1299,completed,UPI
ORD_14700,CUST_0540,2026-03-06 00:07:36,1348,completed,UPI
ORD_10470,CUST_0157,2026-03-06 01:47:00,2499,completed,UPI
ORD_10602,CUST_0196,2026-03-06 02:07:00,3299,completed,UPI
ORD_10067,CUST_0023,2026-03-06 02:22:00,999,completed,UPI
ORD_14321,CUST_1738,2026-03-06 03:04:56,1148,completed,UPI
ORD_15985,CUST_1991,2026-03-06 03:09:20,6498,completed,Debit Card
ORD_15330,CUST_1981,2026-03-06 03:20:57,1148,completed,Debit Card
ORD_10614,CUST_0199,2026-03-06 03:52:00,3299,completed,UPI
ORD_16121,CUST_1950,2026-03-06 04:10:14,4698,completed,UPI
ORD_19362,CUST_0777,2026-03-06 04:36:55,2499,completed,UPI
ORD_17312,CUST_1355,2026-03-06 04:44:47,4299,completed,UPI
ORD_15328,CUST_1964,2026-03-06 04:58:39,1298,completed,UPI
ORD_10251,CUST_0084,2026-03-06 05:08:00,699,completed,COD
ORD_14805,CUST_0301,2026-03-06 05:14:45,1298,completed,UPI
ORD_10570,CUST_0188,2026-03-06 05:51:00,7998,completed,UPI
ORD_10712,CUST_0224,2026-03-06 06:54:00,7998,completed,UPI
ORD_14954,CUST_1856,2026-03-06 07:10:19,1498,completed,COD
ORD_10784,CUST_0242,2026-03-06 07:12:00,3299,completed,COD
ORD_17509,CUST_0324,2026-03-06 07:19:18,5499,refunded,UPI
ORD_18850,CUST_1456,2026-03-06 07:53:25,3299,completed,UPI
ORD_14511,CUST_1569,2026-03-06 08:05:39,948,completed,UPI
ORD_16210,CUST_1988,2026-03-06 08:07:05,7298,completed,Debit Card
ORD_18363,CUST_1630,2026-03-06 08:38:12,6999,completed,Debit Card
ORD_10001,CUST_0001,2026-03-06 09:27:00,2999,completed,UPI
ORD_17569,CUST_1233,2026-03-06 10:51:41,3499,completed,UPI
ORD_14900,CUST_1249,2026-03-06 10:57:16,1298,completed,UPI
ORD_14058,CUST_1954,2026-03-06 11:21:35,1198,completed,Debit Card
ORD_19230,CUST_1728,2026-03-06 12:04:15,3499,completed,UPI
ORD_17588,CUST_0760,2026-03-06 13:06:42,4299,refunded,Credit Card
ORD_17649,CUST_1501,2026-03-06 14:21:29,1899,completed,Credit Card
ORD_15730,CUST_1086,2026-03-06 14:34:10,5698,completed,COD
ORD_14070,CUST_0387,2026-03-06 15:17:10,1498,completed,COD
ORD_15331,CUST_0513,2026-03-06 17:01:33,1048,completed,UPI
ORD_15200,CUST_0631,2026-03-06 17:02:24,1498,completed,UPI
ORD_16503,CUST_0273,2026-03-06 17:50:03,5998,completed,UPI
ORD_19337,CUST_1168,2026-03-06 17:53:24,799,completed,Credit Card
ORD_19585,CUST_0952,2026-03-06 17:53:37,1999,completed,UPI
ORD_17700,CUST_1364,2026-03-06 19:26:43,1899,completed,UPI
