order_item_id,order_id,product_id,quantity,unit_price_inr,total_price_inr
ITEM_50001,ORD_10000,PROD_SCR_05,1,249,249
ITEM_50002,ORD_10001,PROD_WATCH_01,1,2999,2999
ITEM_50003,ORD_10002,PROD_CASE_05,1,899,899
ITEM_50004,ORD_10003,PROD_EAR_01,1,1499,1499
ITEM_50005,ORD_10004,PROD_SPK_03,1,1299,1299
ITEM_50006,ORD_10005,PROD_SPK_01,1,2499,2499
ITEM_50007,ORD_10006,PROD_SPK_02,1,3999,3999
ITEM_50008,ORD_10007,PROD_EAR_01,1,1499,1499
ITEM_50009,ORD_10008,PROD_PWR_04,1,899,899
ITEM_50010,ORD_10009,PROD_PWR_01,1,1299,1299
ITEM_50011,ORD_10010,PROD_CASE_01,1,499,499
ITEM_50012,ORD_10011,PROD_EAR_02,1,2499,2499
ITEM_50013,ORD_10012,PROD_SCR_01,1,299,299
ITEM_50014,ORD_10013,PROD_SCR_05,1,249,249
ITEM_50015,ORD_10014,PROD_EAR_05,1,1999,1999
ITEM_50016,ORD_10015,PROD_SPK_04,1,3299,3299
ITEM_50017,ORD_10016,PROD_WATCH_03,1,1899,1899
ITEM_50018,ORD_10017,PROD_CASE_04,1,599,599
ITEM_50019,ORD_10018,PROD_CHG_02,1,1899,1899
ITEM_50020,ORD_10019,PROD_CHG_04,1,1499,1499
ITEM_50021,ORD_10020,PROD_SCR_05,1,249,249
ITEM_50022,ORD_10021,PROD_CASE_02,1,799,799
ITEM_50023,ORD_10022,PROD_CASE_04,1,599,599
ITEM_50024,ORD_10023,PROD_PWR_03,1,3299,3299
ITEM_50025,ORD_10024,PROD_CASE_04,1,599,599
ITEM_50026,ORD_10025,PROD_CHG_03,1,999,999
ITEM_50027,ORD_10026,PROD_WATCH_03,1,1899,1899
ITEM_50028,ORD_10027,PROD_SCR_04,1,699,699
ITEM_50029,ORD_10028,PROD_PWR_03,1,3299,3299
ITEM_50030,ORD_10029,PROD_SPK_05,1,4999,4999
ITEM_50031,ORD_10030,PROD_EAR_05,1,1999,1999
ITEM_50032,ORD_10031,PROD_PWR_01,1,1299,1299
ITEM_50033,ORD_10032,PROD_EAR_05,1,1999,1999
ITEM_50034,ORD_10033,PROD_PWR_05,1,2799,2799
ITEM_50035,ORD_10034,PROD_EAR_02,1,2499,2499
ITEM_50036,ORD_10035,PROD_PWR_04,1,899,899
ITEM_50037,ORD_10036,PROD_EAR_02,1,2499,2499
ITEM_50038,ORD_10037,PROD_CASE_05,1,899,899
ITEM_50039,ORD_10038,PROD_CHG_02,1,1899,1899
ITEM_50040,ORD_10039,PROD_SPK_02,1,3999,3999
ITEM_50041,ORD_10040,PROD_SCR_04,1,699,699
ITEM_50042,ORD_10041,PROD_WATCH_05,1,6999,6999
ITEM_50043,ORD_10042,PROD_SPK_01,1,2499,2499
ITEM_50044,ORD_10043,PROD_EAR_04,1,4299,4299
ITEM_50045,ORD_10044,PROD_CASE_01,1,499,499
ITEM_50046,ORD_10045,PROD_WATCH_04,1,3999,3999
ITEM_50047,ORD_10046,PROD_PWR_05,1,2799,2799
ITEM_50048,ORD_10047,PROD_CHG_01,1,699,699
ITEM_50049,ORD_10048,PROD_CHG_04,1,1499,1499
ITEM_50050,ORD_10049,PROD_EAR_03,1,3499,3499
ITEM_50051,ORD_10050,PROD_CHG_04,1,1499,1499
ITEM_50052,ORD_10051,PROD_WATCH_05,1,6999,6999
ITEM_50053,ORD_10052,PROD_SPK_02,1,3999,3999
ITEM_50054,ORD_10053,PROD_EAR_01,1,1499,1499
ITEM_50055,ORD_10054,PROD_WATCH_04,1,3999,3999
ITEM_50056,ORD_10055,PROD_PWR_05,1,2799,2799
ITEM_50057,ORD_10056,PROD_PWR_03,1,3299,3299
ITEM_50058,ORD_10057,PROD_PWR_03,1,3299,3299
ITEM_50059,ORD_10058,PROD_CASE_05,1,899,899
ITEM_50060,ORD_10059,PROD_EAR_04,1,4299,4299
ITEM_50061,ORD_10060,PROD_SPK_04,1,3299,3299
ITEM_50062,ORD_10061,PROD_CASE_03,1,999,999
ITEM_50063,ORD_10062,PROD_SCR_04,1,699,699
ITEM_50064,ORD_10063,PROD_SCR_01,1,299,299
ITEM_50065,ORD_10064,PROD_SPK_03,1,1299,1299
ITEM_50066,ORD_10065,PROD_PWR_05,1,2799,2799
ITEM_50067,ORD_10066,PROD_CHG_05,1,799,799
ITEM_50068,ORD_10067,PROD_CHG_03,1,999,999
ITEM_50069,ORD_10068,PROD_CASE_04,1,599,599
ITEM_50070,ORD_10069,PROD_SCR_02,1,499,499
ITEM_50071,ORD_10070,PROD_SCR_03,1,349,349
ITEM_50072,ORD_10071,PROD_PWR_01,1,1299,1299
ITEM_50073,ORD_10072,PROD_SPK_04,1,3299,3299
ITEM_50074,ORD_10073,PROD_CHG_05,1,799,799
ITEM_50075,ORD_10074,PROD_WATCH_03,1,1899,1899
ITEM_50076,ORD_10075,PROD_PWR_04,1,899,899
ITEM_50077,ORD_10076,PROD_SPK_02,1,3999,3999
ITEM_50078,ORD_10077,PROD_WATCH_05,1,6999,6999
ITEM_50079,ORD_10078,PROD_CASE_05,1,899,899
ITEM_50080,ORD_10079,PROD_WATCH_02,1,5499,5499
ITEM_50081,ORD_10080,PROD_PWR_03,1,3299,3299
ITEM_50082,ORD_10081,PROD_CASE_02,1,799,799
ITEM_50083,ORD_10082,PROD_EAR_02,1,2499,2499
ITEM_50084,ORD_10083,PROD_EAR_05,1,1999,1999
ITEM_50085,ORD_10084,PROD_SPK_01,1,2499,2499
ITEM_50086,ORD_10085,PROD_SPK_01,1,2499,2499
ITEM_50087,ORD_10086,PROD_SPK_03,1,1299,1299
ITEM_50088,ORD_10087,PROD_WATCH_02,1,5499,5499
ITEM_50089,ORD_10088,PROD_CHG_01,1,699,699
ITEM_50090,ORD_10089,PROD_CHG_03,1,999,999
ITEM_50091,ORD_10090,PROD_SCR_02,1,499,499
ITEM_50092,ORD_10091,PROD_WATCH_04,1,3999,3999
ITEM_50093,ORD_10092,PROD_CASE_03,1,999,999
ITEM_50094,ORD_10093,PROD_CASE_01,1,499,499
ITEM_50095,ORD_10094,PROD_WATCH_05,1,6999,6999
ITEM_50096,ORD_10095,PROD_CHG_04,1,1499,1499
ITEM_50097,ORD_10096,PROD_PWR_05,1,2799,2799
ITEM_50098,ORD_10097,PROD_CHG_04,1,1499,1499
ITEM_50099,ORD_10098,PROD_CASE_01,1,499,499
ITEM_50100,ORD_10099,PROD_CASE_05,1,899,899
ITEM_50101,ORD_10100,PROD_SPK_04,1,3299,3299
ITEM_50102,ORD_10101,PROD_PWR_03,1,3299,3299
ITEM_50103,ORD_10102,PROD_PWR_04,1,899,899
ITEM_50104,ORD_10103,PROD_CHG_04,1,1499,1499
ITEM_50105,ORD_10104,PROD_SPK_04,1,3299,3299
ITEM_50106,ORD_10105,PROD_EAR_02,1,2499,2499
ITEM_50107,ORD_10106,PROD_PWR_04,1,899,899
ITEM_50108,ORD_10107,PROD_WATCH_05,1,6999,6999
ITEM_50109,ORD_10108,PROD_SCR_03,1,349,349
ITEM_50110,ORD_10109,PROD_EAR_05,1,1999,1999
ITEM_50111,ORD_10110,PROD_SCR_03,1,349,349
ITEM_50112,ORD_10111,PROD_SPK_03,1,1299,1299
ITEM_50113,ORD_10112,PROD_WATCH_02,1,5499,5499
ITEM_50114,ORD_10113,PROD_EAR_01,1,1499,1499
ITEM_50115,ORD_10114,PROD_CASE_04,1,599,599
ITEM_50116,ORD_10115,PROD_CHG_03,1,999,999
ITEM_50117,ORD_10116,PROD_WATCH_03,1,1899,1899
ITEM_50118,ORD_10117,PROD_SPK_03,1,1299,1299
ITEM_50119,ORD_10118,PROD_EAR_05,1,1999,1999
ITEM_50120,ORD_10119,PROD_EAR_01,1,1499,1499
ITEM_50121,ORD_10120,PROD_WATCH_04,1,3999,3999
ITEM_50122,ORD_10121,PROD_EAR_01,1,1499,1499
ITEM_50123,ORD_10122,PROD_SPK_03,1,1299,1299
ITEM_50124,ORD_10123,PROD_CASE_02,1,799,799
ITEM_50125,ORD_10124,PROD_CHG_03,1,999,999
ITEM_50126,ORD_10125,PROD_CASE_05,1,899,899
ITEM_50127,ORD_10126,PROD_PWR_03,1,3299,3299
ITEM_50128,ORD_10127,PROD_SPK_02,1,3999,3999
ITEM_50129,ORD_10128,PROD_EAR_03,1,3499,3499
ITEM_50130,ORD_10129,PROD_CHG_05,1,799,799
ITEM_50131,ORD_10130,PROD_WATCH_05,1,6999,6999
ITEM_50132,ORD_10131,PROD_SCR_02,1,499,499
ITEM_50133,ORD_10132,PROD_EAR_05,1,1999,1999
ITEM_50134,ORD_10133,PROD_EAR_01,1,1499,1499
ITEM_50135,ORD_10134,PROD_SCR_01,1,299,299
ITEM_50136,ORD_10135,PROD_PWR_01,1,1299,1299
ITEM_50137,ORD_10136,PROD_PWR_02,1,2199,2199
ITEM_50138,ORD_10137,PROD_CHG_04,1,1499,1499
ITEM_50139,ORD_10138,PROD_SCR_01,1,299,299
ITEM_50140,ORD_10139,PROD_SPK_02,1,3999,3999
ITEM_50141,ORD_10140,PROD_WATCH_03,1,1899,1899
ITEM_50142,ORD_10141,PROD_SCR_01,1,299,299
ITEM_50143,ORD_10142,PROD_SCR_05,1,249,249
ITEM_50144,ORD_10143,PROD_SPK_02,1,3999,3999
ITEM_50145,ORD_10144,PROD_PWR_02,1,2199,2199
ITEM_50146,ORD_10145,PROD_EAR_02,1,2499,2499
ITEM_50147,ORD_10146,PROD_CHG_01,1,699,699
ITEM_50148,ORD_10147,PROD_PWR_02,1,2199,2199
ITEM_50149,ORD_10148,PROD_SPK_02,1,3999,3999
ITEM_50150,ORD_10149,PROD_SPK_02,1,3999,3999
ITEM_50151,ORD_10150,PROD_CHG_02,1,1899,1899
ITEM_50152,ORD_10151,PROD_EAR_03,1,3499,3499
ITEM_50153,ORD_10152,PROD_SCR_04,1,699,699
ITEM_50154,ORD_10153,PROD_SCR_05,1,249,249
ITEM_50155,ORD_10154,PROD_WATCH_05,1,6999,6999
ITEM_50156,ORD_10155,PROD_PWR_04,1,899,899
ITEM_50157,ORD_10156,PROD_PWR_03,1,3299,3299
ITEM_50158,ORD_10157,PROD_SPK_05,1,4999,4999
ITEM_50159,ORD_10158,PROD_CASE_01,1,499,499
ITEM_50160,ORD_10159,PROD_SPK_02,1,3999,3999
ITEM_50161,ORD_10160,PROD_CHG_03,1,999,999
ITEM_50162,ORD_10161,PROD_EAR_03,1,3499,3499
ITEM_50163,ORD_10162,PROD_EAR_02,1,2499,2499
ITEM_50164,ORD_10163,PROD_SCR_03,1,349,349
ITEM_50165,ORD_10164,PROD_EAR_04,1,4299,4299
ITEM_50166,ORD_10165,PROD_WATCH_05,1,6999,6999
ITEM_50167,ORD_10166,PROD_WATCH_05,1,6999,6999
ITEM_50168,ORD_10167,PROD_SPK_05,1,4999,4999
ITEM_50169,ORD_10168,PROD_SCR_03,1,349,349
ITEM_50170,ORD_10169,PROD_EAR_02,1,2499,2499
ITEM_50171,ORD_10170,PROD_CHG_01,1,699,699
ITEM_50172,ORD_10171,PROD_PWR_02,1,2199,2199
ITEM_50173,ORD_10172,PROD_CASE_04,1,599,599
ITEM_50174,ORD_10173,PROD_CHG_02,1,1899,1899
ITEM_50175,ORD_10174,PROD_SCR_03,1,349,349
ITEM_50176,ORD_10175,PROD_EAR_05,1,1999,1999
ITEM_50177,ORD_10176,PROD_EAR_04,1,4299,4299
ITEM_50178,ORD_10177,PROD_CASE_05,1,899,899
ITEM_50179,ORD_10178,PROD_PWR_02,1,2199,2199
ITEM_50180,ORD_10179,PROD_SPK_04,1,3299,3299
ITEM_50181,ORD_10180,PROD_EAR_05,1,1999,1999
ITEM_50182,ORD_10181,PROD_WATCH_05,1,6999,6999
ITEM_50183,ORD_10182,PROD_CASE_03,1,999,999
ITEM_50184,ORD_10183,PROD_SPK_03,1,1299,1299
